INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 0', 'MODELPHUKIEN0', 'SERIPHUKIEN0', '2000000', '1');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 1', 'MODELPHUKIEN1', 'SERIPHUKIEN1', '2000000', '3');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 2', 'MODELPHUKIEN2', 'SERIPHUKIEN2', '2000000', '5');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 3', 'MODELPHUKIEN3', 'SERIPHUKIEN3', '2000000', '7');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 4', 'MODELPHUKIEN4', 'SERIPHUKIEN4', '2000000', '9');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 5', 'MODELPHUKIEN5', 'SERIPHUKIEN5', '2000000', '11');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 6', 'MODELPHUKIEN6', 'SERIPHUKIEN6', '2000000', '13');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 7', 'MODELPHUKIEN7', 'SERIPHUKIEN7', '2000000', '15');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 8', 'MODELPHUKIEN8', 'SERIPHUKIEN8', '2000000', '17');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 9', 'MODELPHUKIEN9', 'SERIPHUKIEN9', '2000000', '19');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 10', 'MODELPHUKIEN10', 'SERIPHUKIEN10', '2000000', '21');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 11', 'MODELPHUKIEN11', 'SERIPHUKIEN11', '2000000', '23');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 12', 'MODELPHUKIEN12', 'SERIPHUKIEN12', '2000000', '25');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 13', 'MODELPHUKIEN13', 'SERIPHUKIEN13', '2000000', '27');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 14', 'MODELPHUKIEN14', 'SERIPHUKIEN14', '2000000', '29');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 15', 'MODELPHUKIEN15', 'SERIPHUKIEN15', '2000000', '31');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 16', 'MODELPHUKIEN16', 'SERIPHUKIEN16', '2000000', '33');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 17', 'MODELPHUKIEN17', 'SERIPHUKIEN17', '2000000', '35');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 18', 'MODELPHUKIEN18', 'SERIPHUKIEN18', '2000000', '37');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 19', 'MODELPHUKIEN19', 'SERIPHUKIEN19', '2000000', '39');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 20', 'MODELPHUKIEN20', 'SERIPHUKIEN20', '2000000', '41');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 21', 'MODELPHUKIEN21', 'SERIPHUKIEN21', '2000000', '43');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 22', 'MODELPHUKIEN22', 'SERIPHUKIEN22', '2000000', '45');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 23', 'MODELPHUKIEN23', 'SERIPHUKIEN23', '2000000', '47');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 24', 'MODELPHUKIEN24', 'SERIPHUKIEN24', '2000000', '49');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 25', 'MODELPHUKIEN25', 'SERIPHUKIEN25', '2000000', '51');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 26', 'MODELPHUKIEN26', 'SERIPHUKIEN26', '2000000', '53');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 27', 'MODELPHUKIEN27', 'SERIPHUKIEN27', '2000000', '55');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 28', 'MODELPHUKIEN28', 'SERIPHUKIEN28', '2000000', '57');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 29', 'MODELPHUKIEN29', 'SERIPHUKIEN29', '2000000', '59');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 30', 'MODELPHUKIEN30', 'SERIPHUKIEN30', '2000000', '61');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 31', 'MODELPHUKIEN31', 'SERIPHUKIEN31', '2000000', '63');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 32', 'MODELPHUKIEN32', 'SERIPHUKIEN32', '2000000', '65');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 33', 'MODELPHUKIEN33', 'SERIPHUKIEN33', '2000000', '67');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 34', 'MODELPHUKIEN34', 'SERIPHUKIEN34', '2000000', '69');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 35', 'MODELPHUKIEN35', 'SERIPHUKIEN35', '2000000', '71');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 36', 'MODELPHUKIEN36', 'SERIPHUKIEN36', '2000000', '73');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 37', 'MODELPHUKIEN37', 'SERIPHUKIEN37', '2000000', '75');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 38', 'MODELPHUKIEN38', 'SERIPHUKIEN38', '2000000', '77');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 39', 'MODELPHUKIEN39', 'SERIPHUKIEN39', '2000000', '79');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 40', 'MODELPHUKIEN40', 'SERIPHUKIEN40', '2000000', '81');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 41', 'MODELPHUKIEN41', 'SERIPHUKIEN41', '2000000', '83');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 42', 'MODELPHUKIEN42', 'SERIPHUKIEN42', '2000000', '85');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 43', 'MODELPHUKIEN43', 'SERIPHUKIEN43', '2000000', '87');
