 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 0','1' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 1','2' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 2','3' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 3','4' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 4','5' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 5','6' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 6','7' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 7','8' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 8','9' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 9','10' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 10','11' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 11','12' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 12','13' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 13','14' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 14','15' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 15','16' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 16','17' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 17','18' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 18','19' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 19','20' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 20','21' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 21','22' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 22','23' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 23','24' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 24','25' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 25','26' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 26','27' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 27','28' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 28','29' );
 INSERT INTO QUATRINH_DEXUAT_THUCHIEN (TEN_QUA_TRINH, MA_DE_XUAT) VALUES( 'Đề xuất thực hiện công việc 29','30' );
