INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-27', '10','2017-07-27', ' hoàn thành Quyết toán, chuyển giao phần việc','1');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-28', '10','2017-07-26', ' hoàn thành Quyết toán, chuyển giao phần việc','2');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-25', '10','2017-07-29', ' hoàn thành Quyết toán, chuyển giao phần việc','3');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-25', '10','2017-07-27', ' hoàn thành Quyết toán, chuyển giao phần việc','4');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-26', '10','2017-06-27', ' hoàn thành Quyết toán, chuyển giao phần việc','5');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-28', '10','2017-07-28', ' hoàn thành Quyết toán, chuyển giao phần việc','6');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-26', '10','2017-06-29', ' hoàn thành Quyết toán, chuyển giao phần việc','7');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-28', '10','2017-06-28', ' hoàn thành Quyết toán, chuyển giao phần việc','8');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-28', '10','2017-06-27', ' hoàn thành Quyết toán, chuyển giao phần việc','9');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-27', '10','2017-07-25', ' hoàn thành Quyết toán, chuyển giao phần việc','10');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-27', '10','2017-07-25', ' hoàn thành Quyết toán, chuyển giao phần việc','11');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-29', '10','2017-07-27', ' hoàn thành Quyết toán, chuyển giao phần việc','12');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-25', '10','2017-06-28', ' hoàn thành Quyết toán, chuyển giao phần việc','13');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-29', '10','2017-07-28', ' hoàn thành Quyết toán, chuyển giao phần việc','14');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-28', '10','2017-07-25', ' hoàn thành Quyết toán, chuyển giao phần việc','15');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-26', '10','2017-07-27', ' hoàn thành Quyết toán, chuyển giao phần việc','16');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-25', '10','2017-07-27', ' hoàn thành Quyết toán, chuyển giao phần việc','17');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-28', '10','2017-06-26', ' hoàn thành Quyết toán, chuyển giao phần việc','18');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-26', '10','2017-06-29', ' hoàn thành Quyết toán, chuyển giao phần việc','19');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-28', '10','2017-07-29', ' hoàn thành Quyết toán, chuyển giao phần việc','20');
INSERT INTO GIAI_DOAN_QUYET_TOAN (THOI_DIEM_TIEP_NHAN, THOI_GIAN_DU_KIEN_HOAN_THANH, THOI_GIAN_KET_THUC,GHI_CHU,MA_QUATRINH_NGHIEMTHU_QUYETTOAN)VALUES('2017-05-29', '10','2017-06-27', ' hoàn thành Quyết toán, chuyển giao phần việc','21');
